date,workerid,amount
Fri Apr 08 09:28:59 PDT 2016,A3SPK663JVTOB3,0.3
Fri Apr 08 09:30:04 PDT 2016,A8SAOWW3PQFG4,0.3
Fri Apr 08 09:30:53 PDT 2016,AO3NZXSI6KQSZ,0.3
Fri Apr 08 09:34:03 PDT 2016,A3GLT78I4NBP4Q,0.3
Fri Apr 08 09:34:25 PDT 2016,A3LWMJZ2RQP3C0,0.3
Fri Apr 08 09:34:56 PDT 2016,A2W6JI998F20P4,0.3
Fri Apr 08 09:37:41 PDT 2016,A286W1AEOPHVQQ,0.3
Fri Apr 08 09:38:49 PDT 2016,ABNNX9AKIRYJ7,0.3
Fri Apr 08 09:55:09 PDT 2016,AK3H5QRAROFGP,0.3
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
